WC_Sample_Site_Name,Lab_Samp_No,Matrix_ID,Date_Collected,Date_Received,Date_Analyzed,Lab_Name,Analytical_Method,Analyte,Lab_Result_Qualifier,Result,Units,MDL,Reporting_Limit,Comments,ESA_omit_data,ESA_Flag,PercentDif,Site_Number,qa_type,Notes
Site 16,23100544-002,Surface Water,10/17/2023,10/18/2023,10/25/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.52925,mg/L,0.11,0.2,,,,,16,field_primary,
Site 9,23050630-002,Surface Water,5/18/2023,5/19/2023,6/2/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.51945,mg/L,0.11,0.2,,,,,9,field_primary,
Site 17,23070287-006,Surface Water,7/10/2023,7/11/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.4965,mg/L,0.11,0.2,,,,,17,field_primary,
Site 12,23050631-003,Surface Water,5/18/2023,5/19/2023,6/2/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.4959,mg/L,0.11,0.2,,,,,12,field_primary,
Site 11,23050593-004,Surface Water,5/17/2023,5/18/2023,5/29/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.3709,mg/L,0.11,0.2,,,,,11,field_primary,
Site 17,23060531-004,Surface Water,6/19/2023,6/20/2023,6/29/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.2502,mg/L,0.11,0.2,,,,,17,field_primary,
Site 17,23060363-002,Surface Water,6/12/2023,6/13/2023,6/23/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.21045,mg/L,0.11,0.2,,,,,17,field_primary,
SITE 20,23080764-001,Surface Water,8/29/2023,8/29/2023,8/31/2023,WETLab,SM 4500-P E,Total Phosphorous as P,M,0.1602,mg/L,0.0059,0.02,,,,,20,field_primary,
Site 17-Dupe,23100544-005,Surface Water,10/17/2023,10/18/2023,10/25/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,M,0.4467,mg/L,0.11,0.2,,,,,17,field_duplicate,
Rinsate,23070302-001,Surface Water,7/10/2023,7/11/2023,7/27/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,"M,U",0.09375,mg/L,0.11,0.2,,,BMDL,,RB,rinsate_blank,
Rinsate Blank,23100918-002,Surface Water,10/31/2023,10/31/2023,11/7/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,"M,U",0.0386,mg/L,0.11,0.2,,,BMDL,,RB,rinsate_blank,
Rinsate,23070287-001,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0,mg/L,0.0062,0.02,,,BMDL,,RB,rinsate_blank,
Site 21,23050718-002,Surface Water,5/22/2023,5/23/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,B",0.0122,mg/L,0.0062,0.02,,,BRL,,21,field_primary,
Site 16,23060095-003,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,"M,B",0.27215,mg/L,0.11,0.2,,,,,16,field_primary,
Site 15,23050630-005,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,J",0.0068,mg/L,0.0062,0.02,,,BRL,,15,field_primary,
SITE 9/9UVa2023,23080234-003,Surface Water,8/7/2023,8/8/2023,8/23/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,J",0.0067,mg/L,0.0062,0.02,,,BRL,,9UVa2023,field_primary,
Site 16,23060363-005,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0.0035,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 10,23070086-002,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0.0037,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 16,23070746-009,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 10,23080618-003,Surface Water,8/21/2023,8/22/2023,9/1/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0.0031,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 5UVa2023,23080617-001,Surface Water,8/21/2023,8/22/2023,9/1/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,"M,U",0,mg/L,0.0062,0.02,,,BMDL,,5UVa2023,field_primary,
Site 26UVa2023,23070284-001,Surface Water,7/11/2023,7/11/2023,7/20/2023,WETLab,SM 4500-P E,Total Phosphorous as P,U,0,mg/L,0.0059,0.02,Non-detect confirmed in lab report,yes,BMDL,,26UVa2023,field_primary,
Site 17,23070287-006,Surface Water,7/10/2023,7/11/2023,7/20/2023,WETLab,SM 4500-P E,Total Phosphorous as P,U,0,mg/L,0.0059,0.02,Non-detect confirmed in lab report. Field rinsate also non-detect,yes,BMDL,,17,field_primary,
Site 16,23070287-005,Surface Water,7/10/2023,7/11/2023,7/20/2023,WETLab,SM 4500-P E,Total Phosphorous as P,U,0.005,mg/L,0.0059,0.02,,,BMDL,,16,field_primary,
Site 1,23050593-001,Surface Water,5/17/2023,5/18/2023,5/25/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,1,field_primary,
Site 17,23050593-002,Surface Water,5/17/2023,5/18/2023,5/25/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 13,23050593-003,Surface Water,5/17/2023,5/18/2023,5/25/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 11,23050593-004,Surface Water,5/17/2023,5/18/2023,5/25/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 5,23050593-006,Surface Water,5/17/2023,5/18/2023,5/25/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,5,field_primary,
Site 12,23050631-003,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0061,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 22,23050631-005,Surface Water,5/18/2023,5/19/2023,5/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0055,mg/L,0.0062,0.02,,,BMDL,,22,field_primary,
Site 20,23060095-007,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0059,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 7,23060095-004,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0044,mg/L,0.0062,0.02,,,BMDL,,7,field_primary,
Site 18,23060095-005,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.004,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 16,23060095-003,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0037,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 13,23060094-005,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0035,mg/L,0.0062,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,13,field_primary,
Site 12,23060094-006,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0035,mg/L,0.0062,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,12,field_primary,
Site 15,23060095-006,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0035,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 17,23060095-002,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 10,23060094-002,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0016,mg/L,0.0062,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,10,field_primary,
Site 11,23060094-004,Surface Water,6/5/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0011,mg/L,0.0062,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,11,field_primary,
Site 14,23060094-007,Surface Water,6/6/2023,6/6/2023,6/15/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0047,mg/L,0.0062,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,14,field_primary,
Site 13,23060364-006,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0043,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 12,23060364-005,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0041,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 10,23060364-002,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0039,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 14,23060364-007,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0039,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Site 15,23060363-004,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0037,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 11,23060364-004,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 17,23060363-002,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 7,23060363-003,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,7,field_primary,
Site 18,23060364-008,Surface Water,6/12/2023,6/13/2023,6/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 13,23060530-005,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0061,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 12,23060530-004,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0051,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 7,23060531-005,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000793,mg/L,0.0062,0.02,,,BMDL,,7,field_primary,
Site 16,23060531-003,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000764,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 20,23060531-002,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000601,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 11 Duplicate,23060530-003,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000509,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 15,23060531-006,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000422,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 18,23060531-007,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000119,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 11,23060530-002,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 17,23060531-004,Surface Water,6/19/2023,6/20/2023,7/13/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 11,23060728-005,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000786,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 16,23060729-005,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000039,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 12,23060728-002,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 14,23060728-003,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Ste 13,23060728-004,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 10,23060728-006,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 23,23060728-007,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,23,field_primary,
Site 18,23060729-003,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 17,23060729-004,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 15,23060729-006,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 8,23060729-007,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,8,field_primary,
Site 7,23060729-008,Surface Water,6/26/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,7,field_primary,
Site 22,23060727-001,Surface Water,6/27/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000641,mg/L,0.0062,0.02,,,BMDL,,22,field_primary,
Site 24,23060727-002,Surface Water,6/27/2023,6/27/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000548,mg/L,0.0062,0.02,,,BMDL,,24,field_primary,
SITE 14,23070086-007,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0046,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Site 15,23070085-004,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0042,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 16,23060095-003,Surface Water,6/5/2023,6/6/2023,6/6/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.004,mg/L,0.0042,0.02,,,BMDL,,16,field_primary,
Site 16,23060531-003,Surface Water,6/19/2023,6/20/2023,6/20/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.004,mg/L,0.0042,0.02,,,BMDL,,16,field_primary,
Site 3uv2023,23080441-006,Surface Water,8/15/2023,8/15/2023,8/15/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.004,mg/L,0.0042,0.02,,,BMDL,,3UVa2023,field_primary,
Site 17,23060095-002,Surface Water,6/5/2023,6/6/2023,6/6/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0039,mg/L,0.0042,0.02,,,BMDL,,17,field_primary,
Site 17,23070085-002,Surface Water,7/5/2023,7/6/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000549,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 18,23070085-001,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 10,23060530-001,Surface Water,6/19/2023,6/20/2023,6/20/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0039,mg/L,0.0042,0.02,,,BMDL,,10,field_primary,
Site 16,23070085-003,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 7,23070085-005,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,7,field_primary,
Site 20,23070086-001,Surface Water,7/5/2023,7/6/2023,7/20/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 11,23070086-003,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
SITE 12,23070086-005,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
SITE 13,23070086-006,Surface Water,7/5/2023,7/6/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 14,23070302-004,Surface Water,7/10/2023,7/11/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0032,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Site 16,23070287-005,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000547,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 20,23070287-002,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 7,23070085-005,Surface Water,7/5/2023,7/6/2023,7/6/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0037,mg/L,0.0042,0.02,,,BMDL,,7,field_primary,
Site 10,23070287-003,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 11,23070287-004,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 17,23070287-006,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 18,23070287-007,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 15,23070287-008,Surface Water,7/10/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 13,23070302-003,Surface Water,7/10/2023,7/11/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 26UVa2023,23070284-001,Surface Water,7/11/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,26UVa2023,field_primary,
Site 9UVa2023,23070284-002,Surface Water,7/11/2023,7/11/2023,7/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,9UVa2023,field_primary,
Site 20,23070531-001,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.006,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 20,23070531-001,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.006,mg/L,0.0062,0.02,,,BMDL,,20,field_primary,
Site 16,23070531-004,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 16,23070531-004,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,16,field_primary,
Site 9,23070540-006,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,9,field_primary,
Site 11,23070531-003,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 11,23070531-003,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,11,field_primary,
Site 12,23070540-002,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 12,23060094-006,Surface Water,6/5/2023,6/6/2023,6/6/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0034,mg/L,0.0042,0.02,"temp was 14C however, one sample was collected morning of 6/5/23 (RM comment - one sample on 6/6, rest on 6/5. Could it be 4C rather than 14C?)",,BMDL,,12,field_primary,
Site 15,23070540-005,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0033,mg/L,0.0062,0.02,,,BMDL,,15,field_primary,
Site 12,23100107-004,Surface Water,10/2/2023,10/3/2023,10/4/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0034,mg/L,0.0042,0.02,,,BMDL,,12,field_primary,
Site 26,23070540-007,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0028,mg/L,0.0062,0.02,,,BMDL,,26UVa2023,field_primary,
Site 10,23070531-002,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000936,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 10,23070531-002,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000936,mg/L,0.0062,0.02,,,BMDL,,10,field_primary,
Site 14,23070540-004,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.000374,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
Site 17,23070531-005,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 17,23070531-005,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,17,field_primary,
Site 13,23070540-003,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,13,field_primary,
Site 18,23070540-008,Surface Water,7/17/2023,7/18/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0,mg/L,0.0062,0.02,,,BMDL,,18,field_primary,
Site 24,23070747-004,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0041,mg/L,0.0062,0.02,,,BMDL,,24,field_primary,
Site 12,23090662-006,Surface Water,9/26/2023,9/26/2023,9/27/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0033,mg/L,0.0042,0.02,,,BMDL,,12,field_primary,
Site 7,23050718-005,Surface Water,5/22/2023,5/23/2023,5/24/2023,WETLab,SM 4500-P E,"Orthophosphate, as P",U,0.0032,mg/L,0.0042,0.02,,,BMDL,,7,field_primary,
Site 12,23070746-004,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,12,field_primary,
Site 23,23070747-003,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0036,mg/L,0.0062,0.02,,,BMDL,,23,field_primary,
Site 3UVb2023,23070746-011,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.0031,mg/L,0.0062,0.02,,,BMDL,,3UVB2023,field_primary,
Site 14,23070746-003,Surface Water,7/24/2023,7/25/2023,8/10/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,U,0.003,mg/L,0.0062,0.02,,,BMDL,,14,field_primary,
