Waterbody,Project,Replicate,Habitat,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Location
Lake Tahoe,NA,18,near-shore,2022-05-03,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,1,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,5,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,14,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,21,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,7,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,171,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,6,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,36,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,17,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,39,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,11,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Piona,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,31,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,28,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,7,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,107,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,22,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,18,Tahoe Keys CMT
Lake Tahoe,NA,18,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,13,Tahoe Keys CMT
Lake Tahoe,NA,19,mid-channel,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,34.44,Tahoe Keys CMT
Lake Tahoe,NA,19,mid-channel,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,8.61,Tahoe Keys CMT
Lake Tahoe,NA,19,mid-channel,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,8.61,Tahoe Keys CMT
Lake Tahoe,NA,19,mid-channel,2022-05-03,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,8.61,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,1,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,51,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Caenis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Caenidae,mayflies,44,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,35,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,6,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Phaenopsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,5,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,15,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,56,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Pseudosmittia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,18,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,11,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Psychodini,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Psychodidae,moth flies,1,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,23,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Dasyhelea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,1,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,1,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,4,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,36,Tahoe Keys CMT
Lake Tahoe,NA,19,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,1,Tahoe Keys CMT
Lake Tahoe,NA,2,mid-channel,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,2,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,2,mid-channel,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,60.27,Tahoe Keys CMT
Lake Tahoe,NA,2,mid-channel,2022-05-03,Piona,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,8.61,Tahoe Keys CMT
Lake Tahoe,NA,2,mid-channel,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,8.61,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,2,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,7,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,39,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,1,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,89,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Paratendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,116,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,4,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,4,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,10,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Limnesia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,2,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Piona,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,16,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Prostoma,U,non-insect,Aquatic,Annelida: Nemertea,miscellaneous non-insect,Tetrastemmatidae,nemerteans,2,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,25,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,217,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,11,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,17,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,13,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Menetus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,3,Tahoe Keys CMT
Lake Tahoe,NA,2,near-shore,2022-05-03,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,43,Tahoe Keys CMT
Lake Tahoe,NA,20,mid-channel,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,20,mid-channel,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,17.22,Tahoe Keys CMT
Lake Tahoe,NA,20,mid-channel,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,8.61,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,24,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Caenis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Caenidae,mayflies,64,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Apedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,23,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Dicrotendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,7,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Phaenopsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,25,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Psectrocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,27,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,38,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,3,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,31,Tahoe Keys CMT
Lake Tahoe,NA,20,near-shore,2022-05-03,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,3,Tahoe Keys CMT
Lake Tahoe,NA,21,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,21,mid-channel,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,17.22,Tahoe Keys CMT
Lake Tahoe,NA,21,mid-channel,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,8.61,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,6,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,121,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Caenis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Caenidae,mayflies,54,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,28,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,5,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Phaenopsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,51,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,33,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Pseudosmittia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,20,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,12,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Psychodini,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Psychodidae,moth flies,1,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,14,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,3,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,4,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,1,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,34,Tahoe Keys CMT
Lake Tahoe,NA,21,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,1,Tahoe Keys CMT
Lake Tahoe,NA,22,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,34.44,Tahoe Keys CMT
Lake Tahoe,NA,22,mid-channel,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,17.22,Tahoe Keys CMT
Lake Tahoe,NA,22,mid-channel,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,8.61,Tahoe Keys CMT
Lake Tahoe,NA,22,mid-channel,2022-05-03,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,8.61,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,2,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,2,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,9,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,44,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Cladopelma,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,7,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,37,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Pseudochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,7,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,13,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Cricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,1,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Ablabesmyia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,2,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Piona,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,27,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,14,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Sphaeriidae,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,7,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,2,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,57,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,12,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,98,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Physa/Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Gyraulus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,9,Tahoe Keys CMT
Lake Tahoe,NA,22,near-shore,2022-05-03,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,9,Tahoe Keys CMT
Lake Tahoe,NA,23,mid-channel,2022-05-03,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,25.83,Tahoe Keys CMT
Lake Tahoe,NA,23,mid-channel,2022-05-03,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,8.61,Tahoe Keys CMT
Lake Tahoe,NA,23,near-shore,2022-05-03,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,1,Tahoe Keys CMT
Lake Tahoe,NA,23,near-shore,2022-05-03,Oecetis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,1,Tahoe Keys CMT
Lake Tahoe,NA,23,near-shore,2022-05-03,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,43,Tahoe Keys CMT
Lake Tahoe,NA,23,near-shore,2022-05-03,Trepaxonemata,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,x,flat worms,18,Tahoe Keys CMT
